Meshblock,201407,201408,201409,201410,201411,201412,201501,201502,201503,201504,201505,201506,201507,201508,201509,201510,201511,201512
0000100,,,,,,,,,,,,1,,,,,,
0000200,,,,,,,,1,,,,,,,,,,
0000300,,1,,,,,,,,,,,,,,,,
0000400,,,,,,,,,,,,,,,,,,1
0000502,,,,,,,,,,,,,,,,1,,
0000600,,,,2,,,1,,,,,,,,,,,
0000900,,,1,,,,,,,,,,,,,,,
0001000,,,,,,,,,,,,,,1,,,,
0001100,1,,,,,,1,,,,,,,,,,,1
0001201,,,1,,,,,,,,,,,,,,,
0001203,,,,,,,,,,,,,,,,,,2
0001204,,,,1,,,,1,1,,,2,,,,,,
0001302,,,1,,,,1,,,,,,,,,,,2
0001800,,1,,,,,,1,1,,,,,,,,,
0001900,,,,,,,,,,,,2,,,,,,
0002000,,,,,,,,,,,1,,,1,,,,
0002200,2,,,,,,,,1,,1,,1,,,1,,
0002301,,,,,,,,,,,2,,,,,,,
0002302,,1,,,,,,,,,,,,,,,,
0002303,,,,1,,1,,,,,,1,,1,1,,,
0002304,,,,,,,,1,,,,,,1,,,,
0002400,,,,,,,,,,,,,,,,,,1
0002604,,,1,,,,,,,,,,,,1,,1,
0002605,1,,,,1,1,,,,1,2,,,,,,,
0002606,,1,,1,1,,,1,1,,3,,1,,,1,1,
0002607,,,,,,,,,,,,,1,,,,,
0002608,,,,1,,,,,,,,,1,,1,,,1
0002609,,,,1,,,,,,1,,1,2,,,2,,
0002610,,,,,,1,1,,1,,4,,3,,,,,
0002611,1,1,,,,,,1,,,1,,,,,,,
0002700,,1,,,,,,,,1,,1,,,,,,
0002800,,,,,,,,,,,,,,1,1,,1,
0002900,,,,,,,,,,,,2,,,,,,
0003000,,,,,,,,2,1,,,,,,,,,
0003100,,,,,,,,,,,,,,,,1,,
0003200,,,,,,,,,,,,,,1,,,,
0003300,,,,,1,,2,1,1,,,,,,,,,
0003400,,,,,,,2,,2,,,,,1,,,,
0003501,,,,,,,,,,,2,,,1,,,,
0003502,,,,,,,,,,,,,,,1,,,1
0003503,,,,,,,,,,,,,2,,1,,1,
0003504,,,,,,1,,,,,,,,,,,1,
0003505,,,,,,,,1,,,,,,,,,,
0003506,,,,,,,,,,,,,,,,2,1,
0003600,,,,,1,,,,,,,,,,,,,
0003702,,,,,,,,,,,,,,1,3,1,,
0003800,1,,,,,2,1,1,,,,2,,,,,,
0003900,,,,,,,,,,,,,,1,,,,
0004000,,,,,,,,,,,2,,,1,,1,,1
0004101,,,,,,,,1,,1,,,,1,,,2,1
0004102,,,2,,2,1,6,1,1,,,,1,1,,,,
0004104,,,,,,,1,,,,1,,,1,,,,
0004105,,,,,,,,,,1,,,,,,,,
0004106,,,,,,,,,,,,,,,,,1,
0004201,,,,1,,,1,1,1,,,1,,,,,1,1
0004202,,,,,,,1,,1,,,,1,,,,,1
0004204,,,,,,,,,,1,,1,,,,,,
0004205,1,,,,,1,,,1,1,,,2,,,,1,
0004206,,,,1,,,,,,,,,,,,,,
0004207,,,,,,,,,,,,2,,,,,,
0004301,1,,,,1,1,1,,1,1,1,1,1,1,,1,1,
0004302,,,,,,1,3,2,,,2,1,1,,,,,1
0004400,1,,,1,,,,1,,,,1,1,,,,,
0004600,1,,,,1,,,,,,,2,,,,,,
0004900,1,,1,,,1,2,1,1,,,,,1,1,,1,1
0005000,,,,,,,,1,,1,,,,1,,,,1
0005100,,,,,2,1,1,1,1,,2,,,,1,,1,
0005201,2,,,,,,,2,,,1,2,,,,,,
0005300,,,,,,,,1,,1,,,,1,,,1,
0005500,,,,,,,,,,,,,,,,1,,
0005600,3,1,,1,1,,1,1,,,,,,1,,1,,
0005700,2,,,,,,,,1,,,,,2,,,1,
0005900,,,,1,,,,,,1,,,,,,,,
0006000,,,,,,,,,,,1,1,,,,,,
0006200,,,,,,,,,,,1,,,,,,,
0006300,1,,,1,,,,,,,,,,,,,,
0006400,,1,,,,,,,,,,,,1,,,,
0006500,,,,,,,,,,1,,,,,1,,,
0006600,,,,,,1,,,1,,,,,,,,,
0006700,,,,,,1,,,,,,,,,,,,
0006800,,,,,,,,,1,,,,,,,,,
0006900,,,,,,,,,,,,,1,,,1,,
0007000,,,,1,,,,,,,,,,,,,,
0007102,,1,,,,,,,1,,,,2,,,,,
0007201,,,,,,,,,,,,,,1,,,,
0007202,1,,,,,,,,,1,,,2,,1,,1,
0007300,1,,,,,,2,,,,,,,,,1,,
0007500,,,1,,,,,,1,,,,1,,,,,
0007700,1,,,,,,,,,,1,,,,,,,1
0007801,,,,1,,,,,,,,,,,,,,
0007900,,,1,,,,,,,,,,1,1,,,,
0008000,,,1,1,,,,,,,,,,,,,,
0008100,,1,,,,,,,,,,,,,,,,
0008301,,,,,,,,1,,,,,1,,,,1,1
0008401,,,,,,,,,,,1,,,,1,,,1
0008403,,,,2,,,,,,1,,,2,,,,,
0008404,,,,,,,,,,,2,,,,,,,
0008501,,,,,,,,,1,,,,,,,,,
0008502,,,,,,,,,,,1,,,1,,,,
0008600,,1,,1,3,1,,,,1,,,,,,,1,2
0008700,,,,,,,,,,1,,,,,,,,
0008800,,,,,,,,,,,,1,,,1,,,
0008902,,,,,,,,,,,,,,,,1,,
0009001,,,2,,,,,1,,,,1,,,,,1,
0009101,,,,,,1,1,,,,,,,,,,,
0009300,,,,,,1,,,,,,,,,,,,
0009400,,,,,,,,,1,,1,,,,2,,,
0009700,,1,,,,,,,,,,1,1,,,,2,
0009800,,1,1,,,1,,,,,1,1,,,,,,
0010006,,,,,,,,1,,,,,,,,,,
0010009,,,,,,,1,,,,,,,1,,,,
0010010,,,,1,,,,,,,,,,,,,,
0010011,1,,,,,,1,,,,,,,,,,,
0010012,,,,,,,,,,,1,,,,,,,
0010101,,,,,,,1,,,,1,,,,,,,
0010102,1,1,1,1,1,1,,,1,,1,,1,,,,,1
0010200,,,1,,,,,,,,,,,,,,,
0010300,,,,,,,,,,,,1,,,,,,
0010400,,,,,,,,1,,,,,,,,,,
0010500,1,,,,,,,,,,,,,,,,,
0010600,1,,,,,,,2,1,,,,,2,,1,,
0010700,2,,,,1,2,,,1,1,,1,,,,,,
0010800,,,,,,,,,,,,,,1,,,,
0010900,,,,,,,1,,,,,,,,,,1,
0011000,,,,,,,,1,,,,,,,,,,
0011300,,1,1,,,,,,,,,,,,,,,
0011400,,,,,,,,,,,,,,1,,,,
0011900,,,,,,,,1,,,,,,,,,,
0012103,,,,1,,2,,,1,,,,,,,,1,
0012300,,,,,,,,,,,,,,,1,,,
0012400,,,,,,,,,,,,1,,,,,,1
0012500,,,,1,,,,,,,,,,,,,,
0012601,,,,,,,,,,,,,,,,,,1
0012602,,,,,1,,,,,,,,,,,,,
0012702,,,,,,,,,,1,2,1,1,,,,,
0012902,,,,,2,,1,1,2,,,2,,,1,2,,
0012903,2,,1,,1,2,,,2,,,,,,1,2,1,
0012904,,,1,,,,,1,,,,,,,,,,
0013000,,,,,,,1,,,,3,1,,2,,1,,
0013100,1,2,,,,1,,,1,,1,,1,1,,,,1
0013203,,1,1,1,,2,,,1,1,,,1,1,1,,1,
0013205,,,1,,,,,1,1,,,,1,,,,,1
0013206,,,,1,,,,,1,,,,1,,,,,
0013207,,,,,,,,,,,,,,,1,,,1
0013300,,,1,,1,,,1,,,,1,1,,,,4,
0013400,,,1,1,,3,2,2,,,,3,,1,,,,
0013500,,,,,,1,,,,,1,,,1,,,,
0013600,,1,,1,,1,,,,1,,1,,3,1,,2,
0013700,,,,,,1,1,,2,,,1,,1,1,,,
0013800,1,,1,,1,1,,,2,1,,2,,1,,,1,
0013900,,,1,1,3,,,,,,1,,,2,1,2,1,
0014000,1,,,,,,,,1,,1,,,1,,,,1
0014100,1,,3,,2,,,,,,,,,,,,,1
0014200,1,,,1,1,1,4,,4,,4,1,1,2,,,,
0014300,2,,,,1,2,1,1,,,,1,,,,,,2
0014400,,1,,,,,,,1,1,2,1,,2,,,,
0014500,2,,1,,1,,,,,,,1,,,,,1,
0014600,1,,1,,1,,,,,1,,1,1,1,,,2,
0014700,,,,,,,,1,,,,,,,,,1,
0014800,,,,,,,,,,,,,,,,1,4,
0014900,,,1,,,,,,,,2,,,,,,1,1
0015000,1,,,,,,,,,,,,,,,,,
0015100,,,,,,,2,,1,1,3,1,,,,,,1
0015200,,,1,1,,,2,2,,,,,,,,,,
0015300,,1,1,,1,,,,1,,,1,,,,,2,
0015401,,,,,,,,,,,,1,,,,,,
0015402,,,,,,,,,,,,,,,,,1,
0015500,2,1,,,1,,,3,1,1,3,2,2,2,,1,,
0015600,,,3,,,,2,,,,1,1,,,1,1,,2
0015700,1,1,,,1,,1,,,,,1,1,,,,,
0015800,,,1,,,,1,,,,,1,,,,,,
0015900,,1,,,,,,,2,,,,,,,,,
0016000,,1,,,,,,,2,1,,,,,,1,,
0016100,,,2,1,1,,,1,,2,1,,,1,2,,1,
0016200,,,,,,,,,,,1,,,,,,,
0016300,1,,2,,,,,,,,2,,,,,1,,
0016400,,1,,,,1,,,,1,1,,,,,,,
0016500,1,,1,,,,,1,,1,1,,,2,,,1,
0016600,,,,,,,,,,1,1,1,,1,,,,
0016700,,1,,,2,,,1,2,,,1,,,,,,
0016800,,,,,,,,1,,,,,,,2,,,1
0017100,,,1,,,,,,,,1,1,,1,,,,
0017302,,,,,,,1,,,,,,,,,,,
0017402,,1,,1,,,,,,,,,,,,,1,
0017407,,,,,,1,,,,,,,,,,,,
0017409,,,,2,,,,,,,,,,,,,,
0017500,,,,3,,1,,,,1,,,1,,,,,
0017600,,,,,,,1,,,,,,1,,,,,1
0017700,,,,,,,1,,,,,,,,,,,
0017800,,,2,,,,,1,,,,,,,,,,
0018100,3,,,,,,,,,,,,,,,,,
0018201,,,,,,,,,1,,,,,,,1,,
0018300,,,,,,,,,,,,,1,,,,,
0018400,,,,,,,,,,,,,,1,,,,
0018600,,,,,,,,,,,,,,,,1,,
0018800,,,,,,,,,,,,1,,1,1,,,
0018900,,,3,1,,1,1,,,1,,,,1,,,,2
0019100,,,,,1,,,,,,,,,,,,,
0019400,,,1,,1,,,,,,1,,,,,,1,
0019600,,,,,,,,,,,1,,,,,,,
0019700,,,,,,,,,,,,,,,,,,1
0019801,,,,,,,,,,,,,,,,1,,
